COLETA,DATA,PONTO,DBO (mg/L),COP (mg/L),COD (mg/L),N-NH4 (mg/L),N-Org (mg/L),N-NO2 (mg/L),N-NO3 (mg/L),NT (mg/L),PT (mg/L),P-PO4 (mg/L),OD (mg/L),Cafeína,Estradiol,Etinilestradiol,Estrona
50,22/07/2014,IG7,4.0,0.93,2.71,8.42,8.81,1.42,4.23,14.46,1.09,1.07,8.6,0.754,0.000,0.000,0.000
51,13/10/2014,IG7,30.0,,,2.25,0.88,1.45,1.59,6.17,1.03,0.98,7.3,0.437,ND,ND,ND
52,02/03/2015,IG7,33.0,,4.28,0.55,5.29,0.69,1.01,7.53,0.55,0.10,7.2,0.429,ND,ND,ND
53,01/06/2015,IG7,4.8,,6.42,0.70,0.51,0.32,14.77,16.30,0.46,0.93,8.2,ND,ND,ND,ND
54,30/11/2015,IG7,6.0,,,0.22,,0.13,1.45,,0.53,0.21,7.6,ND,ND,ND,ND
55,14/03/2016,IG7,31.0,,4.67,-0.14,2.12,0.02,1.11,3.11,0.19,-0.04,8.1,0.147,ND,<LQ,ND
56,06/06/2016,IG7,3.1,,5.56,0.90,0.30,0.16,1.47,2.83,0.30,0.04,8.6,0.108263,<LD,<LQ,<LQ
57,21/11/2016,IG7,23.1,,10.70,1.84,-0.18,0.25,1.60,3.52,0.32,0.09,8.6,1.148676,<LD,0.427160208,0.029823932
58,03/04/2017,IG7,,,5.06,4.79,-3.02,0.09,0.85,2.71,0.35,0.41,7.9,0.139498,0.561577427,0.003802023,0.024440518
59,14/08/2017,IG7,24.0,,,11.64,0.83,0.22,1.07,13.77,0.68,0.47,8.1,2.793890829,1.153595213,<LD,0.079584208
49,31/03/2014,IG8,,0.66,2.42,,4.36,0.03,4.28,8.68,1.11,0.18,4.0,ND,ND,ND,ND
50,22/07/2014,IG8,2.0,0.95,1.78,6.70,7.30,1.47,4.69,13.45,1.02,1.00,9.2,0.149,0.000,0.000,0.000
51,13/10/2014,IG8,23.0,,,1.03,0.89,1.35,1.48,4.75,0.92,0.91,5.0,0.200,ND,ND,ND
52,02/03/2015,IG8,4.0,,4.74,0.05,0.71,0.14,0.61,1.50,0.57,0.10,3.4,ND,ND,ND,ND
53,01/06/2015,IG8,3.1,,4.89,0.21,3.71,0.12,16.52,20.56,0.07,0.05,6.9,ND,ND,ND,ND
54,30/11/2015,IG8,1.0,,,0.01,,0.01,1.21,,0.44,0.14,4.3,ND,ND,ND,ND
55,14/03/2016,IG8,15.0,,4.17,-0.91,1.49,0.01,1.71,2.30,0.10,-0.07,4.9,ND,ND,ND,ND
56,06/06/2016,IG8,1.9,,5.40,0.17,0.17,0.04,1.76,2.13,0.19,0.02,5.2,0.824647,<LD,<LQ,<LQ
57,21/11/2016,IG8,23.1,,5.61,0.02,-0.48,0.04,2.17,1.74,0.21,0.05,5.8,<LD,<LD,0.269907223,<LD
58,03/04/2017,IG8,,,3.98,0.52,0.77,0.07,0.73,2.09,0.12,0.39,8.1,0.018552,0.327267155,0.054936181,<LQ
59,14/08/2017,IG8,27.0,,,1.55,0.24,0.19,2.25,4.22,0.12,0.02,7.0,<LD,0.164065272,<LD,<LD
49,31/03/2014,IG9,,1.06,1.44,,6.08,0.01,2.18,8.27,1.05,0.05,5.7,ND,ND,ND,ND
50,22/07/2014,IG9,2.0,0.42,2.43,0.63,0.69,0.97,1.04,2.70,1.00,0.97,7.6,0.119,0.000,0.000,0.000
51,13/10/2014,IG9,1.0,,,1.02,0.91,1.17,1.43,4.54,0.90,0.90,6.2,0.127,ND,ND,ND
